"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","541.1"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","0.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","","","","70.5"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","","","","69.7"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","14.6"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","19.9"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","248.3"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","52.1"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","49.1"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","4.6"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","10.7"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","530.4"
