Indicator Category,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Code,Product/Sector,Unit,Year,Value
Trade in commercial services,Switzerland,76,Brazil,SC,Transport,Million US dollar,2016,99.8
Trade in commercial services,Switzerland,76,Brazil,SF,Insurance and pension services,Million US dollar,2016,7.1
Trade in commercial services,Switzerland,76,Brazil,SG,Financial services,Million US dollar,2016,26.7
Trade in commercial services,Switzerland,76,Brazil,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,13.7
Trade in commercial services,Switzerland,76,Brazil,SI,"Telecommunications, computer, and information services",Million US dollar,2016,19.4
Trade in commercial services,Switzerland,124,Canada,SC,Transport,Million US dollar,2016,211.8
Trade in commercial services,Switzerland,124,Canada,SF,Insurance and pension services,Million US dollar,2016,17.7
Trade in commercial services,Switzerland,124,Canada,SG,Financial services,Million US dollar,2016,41.5
Trade in commercial services,Switzerland,124,Canada,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,18.3
Trade in commercial services,Switzerland,124,Canada,SI,"Telecommunications, computer, and information services",Million US dollar,2016,93.2
Trade in commercial services,Switzerland,156,China,SC,Transport,Million US dollar,2016,390.1
Trade in commercial services,Switzerland,156,China,SF,Insurance and pension services,Million US dollar,2016,8
Trade in commercial services,Switzerland,156,China,SG,Financial services,Million US dollar,2016,8.6
Trade in commercial services,Switzerland,156,China,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,104.1
Trade in commercial services,Switzerland,156,China,SI,"Telecommunications, computer, and information services",Million US dollar,2016,106.2
Trade in commercial services,Switzerland,344,"Hong Kong, China",SC,Transport,Million US dollar,2016,179.3
Trade in commercial services,Switzerland,344,"Hong Kong, China",SF,Insurance and pension services,Million US dollar,2016,1.4
Trade in commercial services,Switzerland,344,"Hong Kong, China",SG,Financial services,Million US dollar,2016,87.3
Trade in commercial services,Switzerland,344,"Hong Kong, China",SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,64.5
Trade in commercial services,Switzerland,344,"Hong Kong, China",SI,"Telecommunications, computer, and information services",Million US dollar,2016,29.4
Trade in commercial services,Switzerland,356,India,SC,Transport,Million US dollar,2016,153.1
Trade in commercial services,Switzerland,356,India,SF,Insurance and pension services,Million US dollar,2016,3
Trade in commercial services,Switzerland,356,India,SG,Financial services,Million US dollar,2016,1.8
Trade in commercial services,Switzerland,356,India,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,38.7
Trade in commercial services,Switzerland,356,India,SI,"Telecommunications, computer, and information services",Million US dollar,2016,611.9
Trade in commercial services,Switzerland,392,Japan,SC,Transport,Million US dollar,2016,237.1
Trade in commercial services,Switzerland,392,Japan,SF,Insurance and pension services,Million US dollar,2016,22.9
Trade in commercial services,Switzerland,392,Japan,SG,Financial services,Million US dollar,2016,22.4
Trade in commercial services,Switzerland,392,Japan,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,900.6
Trade in commercial services,Switzerland,392,Japan,SI,"Telecommunications, computer, and information services",Million US dollar,2016,22
Trade in commercial services,Switzerland,643,Russian Federation,SC,Transport,Million US dollar,2016,411.6
Trade in commercial services,Switzerland,643,Russian Federation,SF,Insurance and pension services,Million US dollar,2016,2.5
Trade in commercial services,Switzerland,643,Russian Federation,SG,Financial services,Million US dollar,2016,29.1
Trade in commercial services,Switzerland,643,Russian Federation,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,4.9
Trade in commercial services,Switzerland,643,Russian Federation,SI,"Telecommunications, computer, and information services",Million US dollar,2016,32.6
Trade in commercial services,Switzerland,840,United States of America,SC,Transport,Million US dollar,2016,789.4
Trade in commercial services,Switzerland,840,United States of America,SF,Insurance and pension services,Million US dollar,2016,280.9
Trade in commercial services,Switzerland,840,United States of America,SG,Financial services,Million US dollar,2016,450.7
Trade in commercial services,Switzerland,840,United States of America,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,5445.9
Trade in commercial services,Switzerland,840,United States of America,SI,"Telecommunications, computer, and information services",Million US dollar,2016,4636
Trade in commercial services,Switzerland,918,European Union,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,76,Brazil,SC,Transport,Million US dollar,2016,67.9
Trade in commercial services,Switzerland,76,Brazil,SF,Insurance and pension services,Million US dollar,2016,30.7
Trade in commercial services,Switzerland,76,Brazil,SG,Financial services,Million US dollar,2016,167.2
Trade in commercial services,Switzerland,76,Brazil,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,38.4
Trade in commercial services,Switzerland,76,Brazil,SI,"Telecommunications, computer, and information services",Million US dollar,2016,87.4
Trade in commercial services,Switzerland,76,Brazil,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,124,Canada,SC,Transport,Million US dollar,2016,95.1
Trade in commercial services,Switzerland,124,Canada,SF,Insurance and pension services,Million US dollar,2016,215.1
Trade in commercial services,Switzerland,124,Canada,SG,Financial services,Million US dollar,2016,91.3
Trade in commercial services,Switzerland,124,Canada,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,282.9
Trade in commercial services,Switzerland,124,Canada,SI,"Telecommunications, computer, and information services",Million US dollar,2016,205.2
Trade in commercial services,Switzerland,124,Canada,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,156,China,SC,Transport,Million US dollar,2016,232.8
Trade in commercial services,Switzerland,156,China,SF,Insurance and pension services,Million US dollar,2016,302.5
Trade in commercial services,Switzerland,156,China,SG,Financial services,Million US dollar,2016,51.3
Trade in commercial services,Switzerland,156,China,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,527.7
Trade in commercial services,Switzerland,156,China,SI,"Telecommunications, computer, and information services",Million US dollar,2016,440
Trade in commercial services,Switzerland,156,China,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,344,"Hong Kong, China",SC,Transport,Million US dollar,2016,80.3
Trade in commercial services,Switzerland,344,"Hong Kong, China",SF,Insurance and pension services,Million US dollar,2016,10.1
Trade in commercial services,Switzerland,344,"Hong Kong, China",SG,Financial services,Million US dollar,2016,133.7
Trade in commercial services,Switzerland,344,"Hong Kong, China",SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,87
Trade in commercial services,Switzerland,344,"Hong Kong, China",SI,"Telecommunications, computer, and information services",Million US dollar,2016,115.4
Trade in commercial services,Switzerland,356,India,SC,Transport,Million US dollar,2016,106.4
Trade in commercial services,Switzerland,356,India,SF,Insurance and pension services,Million US dollar,2016,11.3
Trade in commercial services,Switzerland,356,India,SG,Financial services,Million US dollar,2016,16.5
Trade in commercial services,Switzerland,356,India,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,103.9
Trade in commercial services,Switzerland,356,India,SI,"Telecommunications, computer, and information services",Million US dollar,2016,111.5
Trade in commercial services,Switzerland,356,India,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,392,Japan,SC,Transport,Million US dollar,2016,116
Trade in commercial services,Switzerland,392,Japan,SF,Insurance and pension services,Million US dollar,2016,186.2
Trade in commercial services,Switzerland,392,Japan,SG,Financial services,Million US dollar,2016,54.3
Trade in commercial services,Switzerland,392,Japan,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,386.7
Trade in commercial services,Switzerland,392,Japan,SI,"Telecommunications, computer, and information services",Million US dollar,2016,117.5
Trade in commercial services,Switzerland,392,Japan,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,643,Russian Federation,SC,Transport,Million US dollar,2016,1346.5
Trade in commercial services,Switzerland,643,Russian Federation,SF,Insurance and pension services,Million US dollar,2016,31.2
Trade in commercial services,Switzerland,643,Russian Federation,SG,Financial services,Million US dollar,2016,388.2
Trade in commercial services,Switzerland,643,Russian Federation,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,193.5
Trade in commercial services,Switzerland,643,Russian Federation,SI,"Telecommunications, computer, and information services",Million US dollar,2016,76.8
Trade in commercial services,Switzerland,643,Russian Federation,SN,Services not allocated,Million US dollar,2016,0
Trade in commercial services,Switzerland,840,United States of America,SC,Transport,Million US dollar,2016,1227.9
Trade in commercial services,Switzerland,840,United States of America,SF,Insurance and pension services,Million US dollar,2016,2807.6
Trade in commercial services,Switzerland,840,United States of America,SG,Financial services,Million US dollar,2016,670.3
Trade in commercial services,Switzerland,840,United States of America,SH,Charges for the use of intellectual property n.i.e.,Million US dollar,2016,6413.7
