Reporting Economy,Partner Economy,Product/Sector,Value
Switzerland,Australia,Transport,60.3
Switzerland,Australia,Insurance and pension services,3.7
Switzerland,Australia,Financial services,21.9
Switzerland,Australia,Charges for the use of intellectual property n.i.e.,78.3
Switzerland,Australia,"Telecommunications, computer, and information services",28.7
Switzerland,Australia,Professional and management consulting services,61.3
Switzerland,Australia,"Technical, trade-related, and other business services",35.4
Switzerland,Austria,Transport,132.6
Switzerland,Austria,Insurance and pension services,1.6
Switzerland,Austria,Financial services,13.5
Switzerland,Austria,Charges for the use of intellectual property n.i.e.,209.3
Switzerland,Austria,"Telecommunications, computer, and information services",160
Switzerland,Austria,Research and development services,62
Switzerland,Austria,Professional and management consulting services,275.5
Switzerland,Austria,"Technical, trade-related, and other business services",98
Switzerland,Belgium,Transport,105.3
Switzerland,Belgium,Insurance and pension services,4.9
Switzerland,Belgium,Financial services,73.8
Switzerland,Belgium,Charges for the use of intellectual property n.i.e.,130.1
Switzerland,Belgium,"Telecommunications, computer, and information services",141.6
Switzerland,Belgium,Research and development services,125.6
Switzerland,Belgium,Professional and management consulting services,313.3
Switzerland,Belgium,"Technical, trade-related, and other business services",288.6
Switzerland,Brazil,Transport,119.7
Switzerland,Brazil,Insurance and pension services,2.8
Switzerland,Brazil,Financial services,23.4
Switzerland,Brazil,Charges for the use of intellectual property n.i.e.,16.8
Switzerland,Brazil,"Telecommunications, computer, and information services",20.2
Switzerland,Brazil,Professional and management consulting services,108.1
Switzerland,Brazil,"Technical, trade-related, and other business services",103.5
Switzerland,Bulgaria,Transport,9.2
Switzerland,Bulgaria,Insurance and pension services,0
Switzerland,Bulgaria,Financial services,0.3
Switzerland,Bulgaria,Charges for the use of intellectual property n.i.e.,1.2
Switzerland,Bulgaria,"Telecommunications, computer, and information services",37.9
Switzerland,Bulgaria,Professional and management consulting services,20.5
Switzerland,Bulgaria,"Technical, trade-related, and other business services",17.8
Switzerland,Canada,Transport,184.8
Switzerland,Canada,Insurance and pension services,14.8
Switzerland,Canada,Financial services,31.5
Switzerland,Canada,Charges for the use of intellectual property n.i.e.,25.6
Switzerland,Canada,"Telecommunications, computer, and information services",74.5
Switzerland,Canada,Research and development services,111.9
Switzerland,Canada,Professional and management consulting services,112.7
Switzerland,Canada,"Technical, trade-related, and other business services",94.2
Switzerland,Chile,Transport,35.3
Switzerland,Chile,Insurance and pension services,0.2
Switzerland,Chile,Financial services,11.2
Switzerland,Chile,Charges for the use of intellectual property n.i.e.,5
Switzerland,Chile,"Telecommunications, computer, and information services",1.4
Switzerland,Chile,Professional and management consulting services,17.4
Switzerland,Chile,"Technical, trade-related, and other business services",18.4
Switzerland,China,Transport,314.4
Switzerland,China,Insurance and pension services,7
Switzerland,China,Financial services,10.4
Switzerland,China,Charges for the use of intellectual property n.i.e.,94
Switzerland,China,"Telecommunications, computer, and information services",120.2
Switzerland,China,Research and development services,348.5
Switzerland,China,Professional and management consulting services,195.6
Switzerland,China,"Technical, trade-related, and other business services",277.9
Switzerland,Croatia,Transport,5.4
Switzerland,Croatia,Insurance and pension services,0
Switzerland,Croatia,Financial services,0.6
Switzerland,Croatia,Charges for the use of intellectual property n.i.e.,2.3
Switzerland,Croatia,"Telecommunications, computer, and information services",12.3
Switzerland,Croatia,Professional and management consulting services,28.3
Switzerland,Croatia,"Technical, trade-related, and other business services",3.3
Switzerland,Czech Republic,Transport,64.1
Switzerland,Czech Republic,Insurance and pension services,0.1
