Amount (copy),Number of Records,Aiddata Id,Amount,Donor,Recipient,Year
$0.0B,1,86487227,$0.0B,Switzerland,India,01.01.1977
$0.0B,1,86489294,$0.0B,Japan,Thailand,01.01.1983
$0.0B,1,86489840,$0.0B,United States,Thailand,01.01.1975
$0.0B,1,86490464,$0.0B,United States,Korea,01.01.1974
$0.0B,1,86490737,$0.0B,Switzerland,Brazil,01.01.1974
$0.0B,1,86492531,$0.0B,Sweden,India,01.01.1984
$0.0B,1,86492922,$0.0B,Canada,Colombia,01.01.1984
$0.0B,1,86493156,$0.0B,Canada,Chile,01.01.1984
$0.0B,1,86493195,$0.0B,Canada,Chile,01.01.1984
$0.0B,1,86493234,$0.0B,Canada,Colombia,01.01.1984
$0.0B,1,86493273,$0.0B,Canada,Colombia,01.01.1984
$0.0B,1,86493429,$0.0B,Canada,Korea,01.01.1984
$0.0B,1,86494599,$0.0B,France,Cyprus,01.01.1985
$0.0B,1,86496159,$0.0B,Canada,Brazil,01.01.1985
$0.0B,1,86496198,$0.0B,Canada,Colombia,01.01.1985
$0.0B,1,86498187,$0.0B,Netherlands,Chile,01.01.1986
$0.0B,1,86498265,$0.0B,Netherlands,Thailand,01.01.1986
$0.0B,1,86499163,$0.0B,Canada,Chile,01.01.1986
$0.0B,1,86499397,$0.0B,United States,Thailand,01.01.1986
$0.0B,1,86500489,$0.0B,Denmark,India,01.01.1987
$0.0B,1,86501308,$0.0B,Netherlands,India,01.01.1987
$0.0B,1,86501386,$0.0B,Netherlands,India,01.01.1987
$0.0B,1,86501854,$0.0B,Norway,Thailand,01.01.1987
$0.0B,1,86501893,$0.0B,Norway,India,01.01.1987
$0.0B,1,86501971,$0.0B,Norway,India,01.01.1987
$0.0B,1,86502089,$0.0B,Sweden,Chile,01.01.1987
$0.0B,1,86502714,$0.0B,Canada,India,01.01.1987
$0.0B,1,86503299,$0.0B,United States,India,01.01.1987
$0.1B,1,86504079,$0.1B,Japan,Thailand,01.01.1987
$0.0B,1,86504157,$0.0B,Japan,Brazil,01.01.1987
$0.0B,1,86504625,$0.0B,Denmark,India,01.01.1988
$0.0B,1,86505327,$0.0B,Italy,Colombia,01.01.1988
$0.0B,1,86507046,$0.0B,United States,Thailand,01.01.1988
$0.0B,1,86507514,$0.0B,Japan,Thailand,01.01.1988
$0.0B,1,86508021,$0.0B,Sweden,Chile,01.01.1989
$0.0B,1,86508763,$0.0B,Germany,Thailand,01.01.1989
$0.0B,1,86509701,$0.0B,Sweden,South Africa,01.01.1989
$0.0B,1,86509740,$0.0B,Sweden,South Africa,01.01.1989
$0.0B,1,86509779,$0.0B,Sweden,South Africa,01.01.1989
$0.0B,1,86510291,$0.0B,Sweden,India,01.01.1989
$0.0B,1,86511893,$0.0B,Japan,India,01.01.1989
$0.0B,1,86513141,$0.0B,Italy,Chile,01.01.1990
$0.0B,1,86513414,$0.0B,Netherlands,Thailand,01.01.1990
$0.0B,1,86513765,$0.0B,Sweden,South Africa,01.01.1990
$0.0B,1,86515325,$0.0B,Japan,India,01.01.1990
$0.0B,1,86515520,$0.0B,Australia,India,01.01.1990
$0.0B,1,86516691,$0.0B,Italy,Brazil,01.01.1991
$0.0B,1,86516964,$0.0B,Italy,Chile,01.01.1991
$0.1B,1,86519032,$0.1B,Japan,India,01.01.1991
$0.0B,1,86519695,$0.0B,Italy,Colombia,01.01.1992
$0.0B,1,86519812,$0.0B,Belgium,Brazil,01.01.1994
$0.0B,1,86520749,$0.0B,Italy,Brazil,01.01.1992
$0.0B,1,86521607,$0.0B,Netherlands,India,01.01.1992
$0.0B,1,86522700,$0.0B,United Kingdom,India,01.01.1992
$0.0B,1,86522934,$0.0B,Canada,India,01.01.1992
$0.0B,1,86523012,$0.0B,Canada,Brazil,01.01.1992
$0.0B,1,86523441,$0.0B,United States,India,01.01.1992
$0.1B,1,86523870,$0.1B,Japan,Chile,01.01.1992
$0.0B,1,86525044,$0.0B,Italy,Brazil,01.01.1993
$0.0B,1,86525707,$0.0B,Netherlands,India,01.01.1993
$0.0B,1,86526724,$0.0B,Denmark,India,01.01.1994
$0.0B,1,86526997,$0.0B,Canada,Colombia,01.01.1993
$0.0B,1,86528050,$0.0B,Japan,India,01.01.1993
$0.0B,1,86530390,$0.0B,Belgium,Brazil,01.01.1994
$0.0B,1,86530429,$0.0B,Belgium,Colombia,01.01.1994
$0.0B,1,86530585,$0.0B,Denmark,South Africa,01.01.1994
$0.0B,1,86530743,$0.0B,Denmark,South Africa,01.01.1994
$0.0B,1,86531640,$0.0B,Netherlands,Chile,01.01.1994
$0.0B,1,86531835,$0.0B,Netherlands,India,01.01.1994
$0.0B,1,86531874,$0.0B,Netherlands,India,01.01.1994
$0.0B,1,86532225,$0.0B,Norway,Thailand,01.01.1994
$0.0B,1,86533286,$0.0B,Switzerland,South Africa,01.01.1994
$0.0B,1,86534066,$0.0B,United Kingdom,South Africa,01.01.1994
$0.0B,1,86534730,$0.0B,United States,South Africa,01.01.1994
$0.0B,1,86535159,$0.0B,United States,India,01.01.1994
$0.0B,1,86535198,$0.0B,United States,India,01.01.1994
$0.0B,1,86537228,$0.0B,United Kingdom,Poland,01.01.1993
$0.0B,1,86537267,$0.0B,Sweden,Poland,01.01.1993
$0.0B,1,86537696,$0.0B,Sweden,Poland,01.01.1992
$0.0B,1,86537735,$0.0B,Sweden,Estonia,01.01.1992
$0.0B,1,86537969,$0.0B,France,Czech Republic,01.01.1993
$0.0B,1,86538008,$0.0B,Sweden,Latvia,01.01.1994
$0.0B,1,86538125,$0.0B,France,Lithuania,01.01.1994
$0.0B,1,86538164,$0.0B,Sweden,Latvia,01.01.1994
$0.0B,1,86538281,$0.0B,France,Estonia,01.01.1994
$0.0B,1,86538359,$0.0B,Sweden,Lithuania,01.01.1994
$0.0B,1,86538398,$0.0B,Sweden,Latvia,01.01.1994
$0.0B,1,86538671,$0.0B,Canada,India,01.01.1981
$0.1B,1,86539802,$0.1B,Germany,India,01.01.1988
$0.1B,1,86539919,$0.1B,Germany,India,01.01.1990
$0.0B,1,86540311,$0.0B,Sweden,South Africa,01.01.1990
$0.0B,1,86540703,$0.0B,Switzerland,Thailand,01.01.1979
$0.0B,1,86541407,$0.0B,Finland,Chile,01.01.1991
$0.0B,1,86541879,$0.0B,Sweden,India,01.01.1992
$0.0B,1,86542270,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86542545,$0.0B,Austria,Slovenia,01.01.1994
$0.0B,1,86542623,$0.0B,France,Korea,01.01.1994
$0.0B,1,86542662,$0.0B,France,India,01.01.1994
$0.0B,1,86542701,$0.0B,France,Colombia,01.01.1994
$0.0B,1,86543013,$0.0B,France,Qatar,01.01.1994
